number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
47,Feature/key value app,jdmedlock,2019-04-16T00:12:00Z,2019-04-16T19:52:21+00:00,5,19.67
48,Feature: Add GitHub Status app specification,jdmedlock,2019-04-17T00:13:53Z,2019-04-17T04:15:51+00:00,1,4.03
49,Added example project built with react,email2vimalraj,2019-04-18T16:48:59Z,2019-04-18T20:32:37+00:00,2,3.73
52,Added react example for the Binary to Decimal converter app idea,email2vimalraj,2019-04-19T15:18:34Z,2019-04-23T04:19:21+00:00,2,85.01
53,Feature: Add MyPodcast Library app specification,jdmedlock,2019-04-19T22:40:23Z,2019-04-21T01:03:17+00:00,1,26.38
54,Feature: Add Word Frequency app specification,jdmedlock,2019-04-20T22:48:22Z,2019-04-21T01:03:35+00:00,1,2.25
55,Update Notes-App.md,omdnaik,2019-04-21T17:36:19Z,2019-04-23T04:19:57+00:00,1,34.73
57,Project: Add Movie and Slack app,oliver-gomes,2019-04-22T16:34:07Z,2019-04-23T13:38:30+00:00,1,21.07
59,Feature: Add Shuffle Deck app specification,jdmedlock,2019-04-23T00:13:02Z,2019-04-23T04:18:34+00:00,1,4.09
60,Project: Movie Database App Add,oliver-gomes,2019-04-23T13:52:33Z,2019-05-01T11:07:14+00:00,1,189.24
61,Feature: Add Bit Mask app specification,jdmedlock,2019-04-24T00:24:01Z,2019-04-24T03:34:28+00:00,1,3.17
62,Feature: Add Bug Race game specification,jdmedlock,2019-04-24T16:13:19Z,2019-04-24T17:54:28+00:00,1,1.69
63,Feature: Add GitTweet app specification,jdmedlock,2019-04-25T18:06:38Z,2019-04-26T04:24:09+00:00,1,10.29
64,Feature Add Pearson Regression app specification,jdmedlock,2019-04-26T21:38:59Z,2019-04-27T18:15:45+00:00,1,20.61
65,Feature/charity finder app,jdmedlock,2019-04-28T00:53:29Z,2019-04-29T16:42:27+00:00,1,39.82
67,Feature/contribution tracker app,jdmedlock,2019-04-28T20:31:27Z,2019-04-29T16:43:13+00:00,1,20.2
68,Add Sample Project to Kudos-Slackbot.md,rajvirtual,2019-04-28T21:08:49Z,2019-05-01T11:05:44+00:00,2,61.95
69,Feature: Add Hello app specification,jdmedlock,2019-04-30T12:56:25Z,2019-05-01T11:08:02+00:00,1,22.19
70,Feature: Add QRCode Badge Generator app specification,jdmedlock,2019-05-02T19:51:29Z,2019-05-04T21:49:27+00:00,1,49.97
71,@SpellarBot fixed 37 typos for you :),SpellarBot,2019-05-03T20:24:00Z,2019-05-05T11:57:34+00:00,1,39.56
72,Feature: Add NASA Exoplanet Query app specification,jdmedlock,2019-05-03T23:47:13Z,2019-05-05T11:55:36+00:00,1,36.14
73,Feature: Add IoT Mailbox simulator app specification,jdmedlock,2019-05-04T17:38:36Z,2019-05-05T11:55:14+00:00,1,18.28
74,Feature/first db app,jdmedlock,2019-05-08T13:31:40Z,2019-05-10T02:24:48+00:00,1,36.89
75,Feature: Add Sales Receipt app specification,jdmedlock,2019-05-09T23:50:17Z,2019-05-10T02:25:13+00:00,1,2.58
76,Feature/boole bot game,jdmedlock,2019-05-11T18:16:28Z,2019-05-12T05:49:07+00:00,1,11.54
79,Feature: Add Vigenere Cipher app specification,jdmedlock,2019-05-17T01:03:52Z,2019-05-17T02:18:53+00:00,1,1.25
80,Need HTTPS for Behance and Dribble links to work,twhite96,2019-05-25T01:34:45Z,2019-05-26T15:16:22+00:00,1,37.69
83,Fixed grammar,pburkart,2019-06-05T16:39:49Z,2019-06-06T03:43:11+00:00,1,11.06
85,Added React Quiz PWA,SafdarJamal,2019-06-13T14:15:40Z,2019-06-14T06:13:17+00:00,1,15.96
86,fix simple typos,lpmi-13,2019-08-12T20:23:36Z,2019-08-21T09:29:50+00:00,1,205.1
101,Add Todo App,SafdarJamal,2019-10-02T15:46:15Z,2019-10-05T17:01:03+00:00,1,73.25
136,Create GIF-Maker,harshilp24,2020-02-14T06:26:51Z,2020-02-19T17:42:56+00:00,1,131.27
137,Update README.md,harshilp24,2020-02-14T08:57:57Z,2020-02-19T17:42:31+00:00,1,128.74
206,A misspelling was found,unknown,2020-07-10T00:24:59Z,2020-10-25T00:45:02+00:00,1,2568.33
220,Example/timezone slackbot,LimonJuice322,2020-08-10T01:57:28Z,2022-09-18T22:17:57+00:00,1,18476.34
265,Added Alcohol Based Cocktail Suggestion App Idea,vishal-sancheti,2020-10-05T08:44:52Z,2023-05-30T15:48:04+00:00,1,23215.05
382,URL shorten-er project,alifa98,2021-03-20T22:27:33Z,2023-07-06T19:34:43+00:00,2,20109.12
391,link not found,henrique-barbase,2021-05-15T04:33:53Z,2022-10-19T17:22:09+00:00,1,12540.8
498,Tic Tac Toe Game,SamriddhiS2,2021-10-24T00:42:39Z,2024-08-02T20:10:47+00:00,1,24331.47
508,Website,JosephAbbey,2021-10-28T16:05:30Z,2023-04-09T17:12:07+00:00,1,12673.11
523,"Changed ""Ho Chi Mihn City"" to ""Ho Chi Minh City""",weebNeedWeed,2022-06-12T16:25:28Z,2023-06-26T08:09:46+00:00,1,9087.74
921,To-Do-List: Added suggestions for local storage and examples/useful c…,LaiseNeves,2025-05-27T02:23:52Z,2025-09-07T23:34:53+00:00,1,2493.18
