number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
67,fix issue #65,DIMAX99,2024-12-16T16:20:06Z,2024-12-17T01:18:53+00:00,1,8.98
73,Fix LLM terminology in code,CharlesCNorton,2024-12-16T21:24:08Z,2024-12-17T01:04:33+00:00,1,3.67
91,Update README.md,PetrAPConsulting,2024-12-17T09:29:13Z,2024-12-19T22:02:48+00:00,13,60.56
93,Added support to use Pathlib,SigireddyBalasai,2024-12-17T11:30:37Z,2024-12-20T22:12:48+00:00,11,82.7
98,"fix incorrect comments for ""bail if not ..."" for WAV and image cases.",waterimp,2024-12-17T15:12:43Z,2024-12-18T01:57:26+00:00,2,10.75
100,Added llm tests to the local test set.,afourney,2024-12-17T20:14:09Z,2024-12-17T21:36:36+00:00,2,1.37
115,Small type hint fixing + added makefile with couple commands. (Need to recreate),Abdujabbar,2024-12-18T05:36:13Z,2024-12-19T08:41:44+00:00,1,27.09
121,feat: add project description in pyproject.toml,l-lumin,2024-12-18T09:24:47Z,2024-12-19T08:53:54+00:00,1,23.49
123,feat(epub): Add EPUB support,0xRaduan,2024-12-18T09:58:57Z,2025-03-23T15:15:10+00:00,6,2285.27
129,Safeguard against path traversal for ZipConverter,finchy,2024-12-18T18:13:35Z,2024-12-18T20:11:01+00:00,2,1.96
130,Update CLI helpdoc formatting to allow indentation in code,sugatoray,2024-12-18T19:51:09Z,2024-12-19T18:20:23+00:00,1,22.49
136,feat: enable Git support in devcontainer,numekudi,2024-12-19T07:46:26Z,2024-12-21T02:09:17+00:00,1,42.38
139,update: change pdf text parser to pymupdf4llm,tungsten106,2024-12-19T08:54:28Z,2025-03-28T18:40:56+00:00,6,2385.77
153,feat: add DOC converter to MarkItDown,l-lumin,2024-12-19T17:57:16Z,2024-12-20T23:18:36+00:00,9,29.36
160,Add support for type-hinting (PEP-561),sugatoray,2024-12-20T02:16:08Z,2024-12-20T18:54:43+00:00,1,16.64
169,Feature/ Add xls support,yeungadrian,2024-12-20T12:55:02Z,2025-01-03T21:58:17+00:00,1,345.05
172,feat: add version option to markitdown CLI,l-lumin,2024-12-20T14:15:20Z,2024-12-21T00:24:45+00:00,1,10.16
194,fix(transcription): TRANSCRIPTION_CAPABLE should be iniztialized,absadiki,2024-12-21T20:17:10Z,2025-01-03T21:29:26+00:00,1,313.2
196,"feat: outlook "".msg"" file converter",muratcankurtulus,2024-12-21T22:09:34Z,2025-01-03T21:34:39+00:00,3,311.42
218,Add LLM-based image description to PptxConverter,keenranger,2024-12-26T08:37:28Z,2025-02-10T08:31:56+00:00,2,1103.91
223,Fix markitdown.convert_stream handling of leading blanks,doggy8088,2024-12-27T17:19:08Z,2025-01-03T23:03:08+00:00,3,173.73
262,remove leading and trailing \n for HtmlConverter,ZeyuTeng96,2025-01-06T01:59:59Z,2025-02-09T04:28:36+00:00,1,818.48
267,Set exiftool path explicitly.,afourney,2025-01-06T18:24:44Z,2025-01-06T20:43:48+00:00,2,2.32
270,Typo fixed in function comment,jamesmh,2025-01-08T21:54:16Z,2025-02-09T04:30:14+00:00,2,750.6
303,Add support for conversion via Document Intelligence,KennyZhang1,2025-01-23T22:44:14Z,2025-01-24T22:09:32+00:00,1,23.42
306,feat(pptx): support image description with LLM for pptx files,masquare,2025-01-27T12:24:59Z,2025-02-09T04:37:35+00:00,1,304.21
312,Kennyzhang/docintel docs,KennyZhang1,2025-01-31T17:24:48Z,2025-02-01T06:23:26+00:00,1,12.98
318,"Cleanup and refactor, in preparation for plugin support.",afourney,2025-02-10T04:46:01Z,2025-02-10T23:21:44+00:00,7,18.6
324,Added priority argument to all converter constructors.,afourney,2025-02-11T18:14:36Z,2025-02-11T20:36:32+00:00,1,2.37
325,Doc Intelligence fixes for refactored code,KennyZhang1,2025-02-11T22:29:46Z,2025-02-12T00:01:46+00:00,1,1.53
327,Added CLI tests.,afourney,2025-02-12T01:43:51Z,2025-02-12T04:42:51+00:00,1,2.98
1038,Fix UnboundLocalError in MarkItDown._convert,menezesandre,2025-02-19T16:59:21Z,2025-02-28T07:11:27+00:00,1,206.2
1079,[Draft] Exploring ways to allow Optional dependencies,afourney,2025-02-28T19:58:21Z,2025-03-03T17:06:19+00:00,5,69.13
1088,"Update converter API, user streams rather than filepaths",afourney,2025-03-05T01:20:07Z,2025-03-06T05:16:55+00:00,12,27.95
1115,"Added CLI options for extension, mime-types, and charset.",afourney,2025-03-11T06:57:30Z,2025-03-11T20:16:33+00:00,1,13.32
1120,Refactored tests.,afourney,2025-03-12T04:23:17Z,2025-03-12T18:08:06+00:00,8,13.75
1121,Fix string formatting in FileConversionException error message,yushihang,2025-03-12T11:05:52Z,2025-03-12T17:15:09+00:00,1,6.15
1131,EPub Support. Adapted #123 to not use epublib.,afourney,2025-03-16T02:02:00Z,2025-03-17T14:48:15+00:00,1,36.77
1140,Add support for preserving base64 encoded images,BetterAndBetterII,2025-03-18T12:04:07Z,2025-03-21T01:50:23+00:00,5,61.77
1155,Basic SSE MCP Server for MarkItDown ,afourney,2025-03-25T06:53:38Z,2025-03-25T21:38:22+00:00,7,14.75
1191,Update README.md,ebrahimHakimuddin,2025-04-19T06:17:56Z,2025-08-26T22:07:28+00:00,1,3111.83
1245,support streamable http mcp,Betula-L,2025-05-12T09:03:54Z,2025-05-21T21:34:51+00:00,1,228.52
1278,Docs only: Rephrase sentence,onefloid,2025-05-30T10:13:19Z,2025-06-04T04:09:25+00:00,1,113.94
1350,Update README.md,UK0070,2025-07-17T09:13:29Z,2025-08-26T22:02:56+00:00,1,972.82
1399,Ensure safe ExifTool usage: require >= 12.24,t3tra-dev,2025-08-16T07:47:46Z,2025-08-26T21:25:13+00:00,1,253.62
